Population,Genotype,Year,Annual Precip (cm),Mean annual temperature,Elevation (m),DBH (cm),Foliar Carbon (%),Foliar Nitrogen (%),Foliar C:N,Soil Carbon (%),Soil Nitrogen (%) from background sources (away from trees to measure underlying soil N gradient),Soil Nitrogen from beneath trees (compared to plant traits),Soil pH,Mean Leaf Area (cm2),Mean leaf mass (g),Foliar N_area (g/m2)
SNR,415,2012,50.4,2.4,1738.606812,39.17197452,49.47,2.985,16.57259416,9.831,0.161,0.346,8.24,7.411,0.051,2.04208365
SNR,416,2012,50.4,2.4,1738.313599,39.8089172,47.91,2.904,16.49994501,1.846,0.189,0.138,7.64,11.646,0.094,2.353981298
SNR,417,2012,50.4,2.4,1738.884888,27.07006369,48.13,2.654,18.1378516,,,,,10.203,0.076,1.973472728
SNR,418,2012,50.4,2.4,1737.314819,11.46496815,49.71,2.877,17.277732,,,,,7.903,0.074,2.696429053
SNR,419,2012,50.4,2.4,1741.643677,36.30573248,47.76,2.122,22.51003896,10.683,0.155,0.159,8.3,10.509,0.060,1.205490602
SNR,420,2012,50.4,2.4,1740.983887,27.07006369,47.87,2.143,22.3377996,12.028,0.275,0.168,8.05,7.175,0.040,1.184681922
SNR,421,2012,50.4,2.4,1744.749268,20.38216561,48.99,2.686,18.23980965,15.086,0.4,0.345,7.89,11.379,0.085,2.011858305
SNR,422,2012,50.4,2.4,1741.957886,14.64968153,50.23,3.013,16.67375421,9.991,0.08,0.125,8.66,12.619,0.077,1.839291601
SNR,423,2012,50.4,2.4,1751.416992,20.38216561,47.27,2.415,19.57449766,,,,,6.848,0.048,1.681099947
SNR,424,2012,50.4,2.4,1747.700928,28.02547771,50.17,2.196,22.84745545,10.676,0.072,0.369,8.66,9.955,0.068,1.491936742
LOG,560,2012,42.9,4,1861.624512,10.1910828,53.69,2.57,20.89347801,2.197,0.254,0.303,7.68,4.456,0.036,2.095479605
LOG,561,2012,42.9,4,1858.358276,24.84076433,52.53,2.713,19.36059853,3.855,0.387,0.475,7.54,6.324,0.060,2.559622824
LOG,562,2012,42.9,4,1861.850952,22.61146497,52.43,2.751,19.05601795,3.908,0.372,0.494,7.94,10.924,0.109,2.75328321
LOG,563,2012,42.9,4,1863.633789,19.10828025,52.42,2.552,20.54029797,4.37,0.38,0.427,6.72,5.367,0.052,2.472468917
LOG,564,2012,42.9,4,1863.131592,35.35031847,54.88,2.482,22.10903371,4.808,0.439,0.271,6.82,4.045,0.048,2.92461972
LOG,565,2012,42.9,4,1861.490234,14.01273885,49.03,1.862,26.3269497,4.539,0.419,0.238,6.52,5.009,0.060,2.217949998
LOG,566,2012,42.9,4,1854.427124,23.88535032,53.93,2.749,19.62149997,3.139,0.293,0.412,8.21,4.309,0.043,2.743109757
